date,city,state,pm25,pm10,no2,nh3,so2,co,o3,temperature,humidity,aqi
2025-05-21,Visakhapatnam,Andhra Pradesh,97.7,146.6,41.5,7.6,15.4,37.8,39.3,38.7,67.5,146
2025-05-28,Visakhapatnam,Andhra Pradesh,85.5,128.3,36.9,3.4,9.0,57.9,5.0,39.2,65.8,128
2025-06-04,Visakhapatnam,Andhra Pradesh,79.2,118.9,34.9,3.7,9.4,29.1,46.1,39.6,64.1,118
2025-06-11,Visakhapatnam,Andhra Pradesh,87.3,131.0,39.5,8.6,14.0,55.8,56.9,39.9,62.4,130
2025-06-18,Visakhapatnam,Andhra Pradesh,92.1,138.1,42.9,6.1,11.9,33.1,39.5,40.0,60.6,138
2025-06-25,Visakhapatnam,Andhra Pradesh,79.5,119.3,38.4,8.6,9.3,54.8,44.3,40.0,58.8,119
2025-07-02,Visakhapatnam,Andhra Pradesh,79.0,118.6,39.7,8.9,18.1,50.2,16.0,39.8,57.0,118
2025-07-09,Visakhapatnam,Andhra Pradesh,60.0,90.1,31.6,3.5,20.8,34.7,22.3,39.5,55.2,103
2025-07-16,Visakhapatnam,Andhra Pradesh,67.4,101.0,37.2,4.5,12.8,44.7,5.0,39.0,53.6,101
2025-07-23,Visakhapatnam,Andhra Pradesh,52.8,79.2,30.8,3.0,11.3,42.5,36.9,38.5,52.0,79
2025-07-30,Visakhapatnam,Andhra Pradesh,56.7,85.1,35.0,5.6,15.6,55.0,30.6,37.7,50.5,85
2025-08-06,Visakhapatnam,Andhra Pradesh,56.3,84.4,36.9,3.9,14.3,49.7,18.6,36.9,49.2,84
2025-08-13,Visakhapatnam,Andhra Pradesh,50.9,76.3,35.6,10.0,11.3,35.2,31.0,36.0,48.0,76
2025-08-20,Visakhapatnam,Andhra Pradesh,48.5,72.7,36.3,6.1,14.0,44.8,29.9,35.0,47.0,72
2025-08-27,Visakhapatnam,Andhra Pradesh,59.9,89.8,48.0,8.0,6.0,68.0,23.8,33.9,46.2,89
2025-09-03,Visakhapatnam,Andhra Pradesh,38.2,57.4,32.9,11.4,6.5,38.0,40.0,32.8,45.6,80
2025-09-10,Visakhapatnam,Andhra Pradesh,46.6,69.9,42.9,2.0,14.1,77.7,27.8,31.6,45.2,70
2025-09-17,Visakhapatnam,Andhra Pradesh,48.2,72.3,47.4,6.7,13.1,44.6,15.4,30.4,45.0,72
2025-09-24,Visakhapatnam,Andhra Pradesh,47.2,70.7,49.4,5.5,10.4,69.5,20.3,29.2,45.0,70
2025-10-01,Visakhapatnam,Andhra Pradesh,35.6,53.3,39.4,6.0,8.2,40.1,36.2,28.0,45.3,72
2025-10-08,Visakhapatnam,Andhra Pradesh,27.4,41.2,31.9,2.0,16.7,53.7,19.5,26.9,45.8,83
2025-10-15,Visakhapatnam,Andhra Pradesh,30.3,45.4,36.5,6.2,11.1,44.7,21.0,25.7,46.4,55
2025-10-22,Visakhapatnam,Andhra Pradesh,29.9,44.8,36.9,4.9,8.9,29.1,27.6,24.7,47.3,55
2025-10-29,Visakhapatnam,Andhra Pradesh,32.8,49.2,41.0,7.2,10.7,7.8,33.2,23.7,48.3,66
2025-11-05,Visakhapatnam,Andhra Pradesh,30.8,46.2,38.3,9.3,12.8,49.9,32.9,22.8,49.6,65
2025-11-12,Visakhapatnam,Andhra Pradesh,39.6,59.5,48.5,3.1,4.8,33.2,18.8,22.0,50.9,59
2025-11-19,Visakhapatnam,Andhra Pradesh,35.0,52.5,41.5,8.4,15.5,56.7,34.2,21.4,52.4,77
2025-11-26,Visakhapatnam,Andhra Pradesh,36.2,54.2,41.1,5.5,10.2,53.1,18.4,20.8,54.0,54
2025-12-03,Visakhapatnam,Andhra Pradesh,37.7,56.6,40.7,5.8,9.8,51.6,41.4,20.4,55.7,82
2025-12-10,Visakhapatnam,Andhra Pradesh,38.6,57.9,39.2,5.3,10.5,32.9,22.3,20.1,57.5,57
2025-12-17,Visakhapatnam,Andhra Pradesh,41.2,61.9,39.3,3.8,12.9,29.7,33.6,20.0,59.3,67
2025-12-24,Visakhapatnam,Andhra Pradesh,40.3,60.4,35.8,9.9,4.2,36.7,37.4,20.0,61.1,74
2025-01-01,Guwahati,Assam,48.5,72.7,39.8,8.0,11.5,68.7,34.0,15.2,63.1,72
2025-01-08,Guwahati,Assam,54.3,81.5,41.7,5.8,8.7,24.1,29.1,15.5,64.9,81
2025-01-15,Guwahati,Assam,52.6,78.9,37.7,6.3,15.2,54.7,29.2,16.0,66.5,78
2025-01-22,Guwahati,Assam,61.9,92.9,41.6,5.2,20.4,15.7,34.9,16.6,68.1,101
2025-01-29,Guwahati,Assam,63.3,94.9,39.9,9.0,12.5,52.2,35.6,17.3,69.6,94
2025-02-05,Guwahati,Assam,73.4,110.1,43.6,6.3,15.6,43.0,42.5,18.1,70.9,110
2025-02-12,Guwahati,Assam,62.1,93.1,34.9,8.3,11.6,63.4,31.5,19.1,72.1,93
2025-02-19,Guwahati,Assam,80.6,120.9,43.1,9.6,10.7,8.7,20.9,20.1,73.0,120
2025-02-26,Guwahati,Assam,81.1,121.7,41.4,6.3,5.5,25.9,22.1,21.1,73.8,121
2025-03-05,Guwahati,Assam,88.0,132.0,43.1,6.1,9.2,52.8,12.6,22.3,74.4,132
2025-03-12,Guwahati,Assam,99.0,148.5,46.7,6.5,9.2,39.1,31.2,23.5,74.8,148
2025-03-19,Guwahati,Assam,93.9,140.9,42.9,6.6,6.6,16.3,30.2,24.7,75.0,140
2025-03-26,Guwahati,Assam,94.8,142.2,42.1,9.4,12.1,45.4,12.4,25.9,74.9,142
2025-04-02,Guwahati,Assam,119.4,179.0,51.9,8.6,18.4,50.2,17.4,27.1,74.7,179
2025-04-09,Guwahati,Assam,94.3,141.5,40.3,8.4,12.1,41.5,44.1,28.2,74.2,141
2025-04-16,Guwahati,Assam,89.9,134.8,37.9,9.0,16.9,32.9,31.8,29.3,73.5,134
2025-04-23,Guwahati,Assam,92.5,138.7,38.7,8.2,8.0,67.5,25.9,30.4,72.6,138
2025-04-30,Guwahati,Assam,89.3,134.0,37.2,6.1,16.6,37.5,14.4,31.4,71.6,133
2025-05-07,Guwahati,Assam,102.2,153.3,42.7,7.1,19.7,27.9,35.9,32.2,70.4,153
2025-05-14,Guwahati,Assam,112.5,168.8,47.3,2.3,9.4,20.2,31.4,33.0,69.0,168
2025-05-21,Guwahati,Assam,106.8,160.2,45.4,6.8,14.3,58.5,14.9,33.7,67.5,160
2025-05-28,Guwahati,Assam,108.2,162.4,46.7,3.7,8.5,19.7,27.8,34.2,65.8,162
2025-06-04,Guwahati,Assam,114.1,171.2,50.3,7.8,20.1,54.2,32.5,34.6,64.1,171
2025-06-11,Guwahati,Assam,92.1,138.2,41.7,8.6,11.1,44.1,55.2,34.9,62.4,138
2025-06-18,Guwahati,Assam,89.2,133.7,41.6,6.8,11.6,51.2,19.6,35.0,60.6,133
2025-06-25,Guwahati,Assam,78.3,117.4,37.8,6.6,8.3,45.0,15.0,35.0,58.8,117
2025-07-02,Guwahati,Assam,101.1,151.7,50.8,9.1,18.4,42.4,27.1,34.8,57.0,151
2025-07-09,Guwahati,Assam,84.5,126.7,44.4,4.3,12.3,13.8,26.5,34.5,55.2,126
2025-07-16,Guwahati,Assam,72.3,108.4,39.9,6.8,19.5,38.1,38.2,34.0,53.6,108
2025-07-23,Guwahati,Assam,83.8,125.7,48.8,7.8,20.3,52.9,9.1,33.5,52.0,125
2025-07-30,Guwahati,Assam,68.4,102.5,42.2,10.1,15.2,49.9,21.2,32.7,50.5,102
2025-08-06,Guwahati,Assam,57.3,86.0,37.6,7.1,11.2,52.8,32.0,31.9,49.2,85
2025-08-13,Guwahati,Assam,62.1,93.1,43.4,6.2,15.6,35.2,16.5,31.0,48.0,93
2025-08-20,Guwahati,Assam,45.6,68.4,34.1,6.1,11.6,41.1,23.6,30.0,47.0,68
2025-08-27,Guwahati,Assam,55.6,83.4,44.6,8.4,15.1,28.7,12.1,28.9,46.2,83
2025-09-03,Guwahati,Assam,44.3,66.5,38.1,8.2,8.9,74.8,17.8,27.8,45.6,66
2025-09-10,Guwahati,Assam,50.4,75.6,46.4,8.6,11.3,71.9,31.9,26.6,45.2,75
2025-09-17,Guwahati,Assam,45.5,68.3,44.8,10.9,10.3,69.0,41.9,25.4,45.0,83
2025-09-24,Guwahati,Assam,40.0,60.0,41.9,8.8,7.8,87.4,25.4,24.2,45.0,60
2025-10-01,Guwahati,Assam,37.3,56.0,41.4,5.7,14.3,46.7,22.2,23.0,45.3,71
2025-10-08,Guwahati,Assam,36.2,54.3,42.0,6.5,10.3,51.1,29.8,21.9,45.8,59
2025-10-15,Guwahati,Assam,36.8,55.2,44.4,7.8,14.5,40.9,43.0,20.7,46.4,85
2025-10-22,Guwahati,Assam,41.0,61.5,50.7,6.2,10.8,43.8,36.8,19.7,47.3,73
2025-10-29,Guwahati,Assam,39.4,59.2,49.3,8.8,16.6,40.1,25.8,18.7,48.3,83
2025-11-05,Guwahati,Assam,35.6,53.4,44.3,3.5,23.4,59.7,15.9,17.8,49.6,117
2025-11-12,Guwahati,Assam,35.1,52.7,43.0,10.6,12.3,14.5,24.8,17.0,50.9,61
2025-11-19,Guwahati,Assam,34.3,51.4,40.6,4.6,10.3,48.9,28.9,16.4,52.4,57
2025-11-26,Guwahati,Assam,39.9,59.9,45.4,5.7,11.7,52.3,9.1,15.8,54.0,59
2025-12-03,Guwahati,Assam,43.2,64.8,46.5,6.0,8.5,52.7,21.5,15.4,55.7,64
2025-12-10,Guwahati,Assam,36.4,54.6,37.0,12.0,15.5,24.7,8.4,15.1,57.5,77
2025-12-17,Guwahati,Assam,48.3,72.5,46.0,4.4,19.2,34.4,49.2,15.0,59.3,98
2025-12-24,Guwahati,Assam,52.7,79.0,46.9,4.2,9.1,16.2,37.2,15.0,61.1,79
2025-01-01,Patna,Bihar,58.5,87.8,48.1,10.2,22.5,91.2,30.0,15.2,63.1,112
2025-01-08,Patna,Bihar,71.5,107.3,54.8,15.6,12.7,28.1,16.2,15.5,64.9,107
2025-01-15,Patna,Bihar,69.1,103.7,49.5,7.4,20.8,46.3,22.5,16.0,66.5,103
2025-01-22,Patna,Bihar,91.2,136.8,61.2,14.9,20.6,62.7,34.2,16.6,68.1,136
2025-01-29,Patna,Bihar,88.9,133.3,56.0,7.0,14.6,5.0,24.5,17.3,69.6,133
2025-02-05,Patna,Bihar,76.7,115.0,45.6,9.7,18.0,24.3,21.8,18.1,70.9,114
2025-02-12,Patna,Bihar,92.4,138.7,52.0,5.1,16.4,23.5,14.4,19.1,72.1,138
2025-02-19,Patna,Bihar,102.1,153.2,54.6,13.9,23.3,56.1,27.1,20.1,73.0,153
2025-02-26,Patna,Bihar,106.3,159.5,54.3,8.0,16.8,71.6,26.0,21.1,73.8,159
2025-03-05,Patna,Bihar,110.5,165.7,54.1,9.0,18.6,50.0,22.8,22.3,74.4,165
2025-03-12,Patna,Bihar,126.0,189.0,59.5,8.1,12.4,71.2,33.9,23.5,74.8,189
2025-03-19,Patna,Bihar,117.3,175.9,53.6,9.5,22.5,32.5,18.8,24.7,75.0,175
2025-03-26,Patna,Bihar,115.2,172.8,51.2,7.7,10.9,43.1,33.3,25.9,74.9,172
2025-04-02,Patna,Bihar,107.6,161.5,46.8,8.9,19.8,67.2,22.1,27.1,74.7,161
2025-04-09,Patna,Bihar,122.1,183.2,52.1,8.2,7.3,60.3,16.2,28.2,74.2,183
2025-04-16,Patna,Bihar,116.3,174.4,49.0,5.4,17.1,74.7,38.4,29.3,73.5,174
2025-04-23,Patna,Bihar,160.0,240.0,66.9,4.9,15.4,50.7,34.1,30.4,72.6,240
2025-04-30,Patna,Bihar,143.3,214.9,59.7,4.3,11.8,56.2,25.2,31.4,71.6,214
2025-05-07,Patna,Bihar,125.7,188.6,52.5,9.3,14.9,35.7,25.7,32.2,70.4,188
2025-05-14,Patna,Bihar,146.4,219.6,61.5,13.3,21.3,89.3,30.4,33.0,69.0,219
2025-05-21,Patna,Bihar,121.7,182.5,51.7,8.6,22.0,46.0,13.7,33.7,67.5,182
2025-05-28,Patna,Bihar,138.8,208.2,59.9,9.3,17.6,35.2,16.9,34.2,65.8,208
2025-06-04,Patna,Bihar,103.7,155.6,45.7,5.6,7.6,29.8,12.2,34.6,64.1,155
2025-06-11,Patna,Bihar,106.5,159.7,48.1,4.4,13.6,66.7,17.2,34.9,62.4,159
2025-06-18,Patna,Bihar,120.1,180.1,56.0,6.0,9.5,78.4,22.7,35.0,60.6,180
2025-06-25,Patna,Bihar,100.1,150.1,48.3,11.1,12.9,38.4,39.7,35.0,58.8,150
2025-07-02,Patna,Bihar,79.7,119.5,40.1,7.7,21.3,37.2,34.2,34.8,57.0,119
2025-07-09,Patna,Bihar,89.2,133.8,46.9,7.3,10.3,92.3,22.5,34.5,55.2,133
2025-07-16,Patna,Bihar,78.6,118.0,43.4,6.9,11.0,48.6,20.9,34.0,53.6,117
2025-07-23,Patna,Bihar,92.8,139.2,54.0,3.8,16.3,26.4,29.3,33.5,52.0,139
2025-07-30,Patna,Bihar,74.3,111.5,45.9,11.2,12.1,67.2,5.2,32.7,50.5,111
2025-08-06,Patna,Bihar,82.0,123.0,53.8,5.1,25.1,69.7,16.1,31.9,49.2,125
2025-08-13,Patna,Bihar,65.5,98.3,45.8,8.4,22.7,54.8,36.5,31.0,48.0,113
2025-08-20,Patna,Bihar,72.4,108.6,54.2,10.1,16.0,60.9,27.3,30.0,47.0,108
2025-08-27,Patna,Bihar,72.2,108.3,57.9,4.8,17.6,57.7,33.8,28.9,46.2,108
2025-09-03,Patna,Bihar,50.6,75.8,43.4,11.8,16.6,69.6,25.2,27.8,45.6,82
2025-09-10,Patna,Bihar,61.1,91.7,56.3,5.3,13.5,65.9,41.5,26.6,45.2,91
2025-09-17,Patna,Bihar,46.8,70.3,46.1,7.6,16.9,66.8,16.7,25.4,45.0,84
2025-09-24,Patna,Bihar,50.0,75.0,52.4,10.9,12.8,43.9,23.5,24.2,45.0,75
2025-10-01,Patna,Bihar,38.7,58.0,42.9,6.9,16.9,57.8,25.8,23.0,45.3,84
2025-10-08,Patna,Bihar,55.4,83.2,64.4,4.4,30.8,23.8,17.1,21.9,45.8,153
2025-10-15,Patna,Bihar,45.6,68.4,55.0,8.9,7.5,20.3,18.8,20.7,46.4,68
2025-10-22,Patna,Bihar,37.1,55.6,45.8,6.5,19.2,65.4,27.6,19.7,47.3,95
2025-10-29,Patna,Bihar,40.8,61.2,51.0,7.8,15.6,64.9,35.2,18.7,48.3,77
2025-11-05,Patna,Bihar,42.1,63.2,52.5,8.1,23.1,22.1,25.6,17.8,49.6,115
2025-11-12,Patna,Bihar,39.8,59.7,48.7,9.1,19.5,81.0,34.8,17.0,50.9,97
2025-11-19,Patna,Bihar,38.9,58.4,46.1,12.4,19.3,5.0,31.4,16.4,52.4,96
2025-11-26,Patna,Bihar,49.8,74.8,56.6,7.5,23.6,64.4,25.1,15.8,54.0,118
2025-12-03,Patna,Bihar,43.2,64.8,46.6,9.5,14.0,85.9,28.0,15.4,55.7,70
2025-12-10,Patna,Bihar,61.8,92.6,62.7,8.2,10.3,24.0,23.5,15.1,57.5,92
2025-12-17,Patna,Bihar,50.4,75.6,48.0,12.5,7.5,73.5,31.7,15.0,59.3,75
2025-12-24,Patna,Bihar,57.3,86.0,51.0,5.8,26.4,51.0,11.3,15.0,61.1,131
2025-01-01,Bilaspur,Chhattisgarh,59.3,89.0,48.7,12.1,23.1,44.2,27.2,15.2,63.1,115
2025-01-08,Bilaspur,Chhattisgarh,67.6,101.4,51.8,8.7,19.9,22.9,36.6,15.5,64.9,101
2025-01-15,Bilaspur,Chhattisgarh,69.5,104.3,49.8,8.0,11.9,28.0,12.3,16.0,66.5,104
2025-01-22,Bilaspur,Chhattisgarh,66.8,100.2,44.8,6.3,22.4,72.6,11.1,16.6,68.1,111
2025-01-29,Bilaspur,Chhattisgarh,82.6,123.9,52.1,10.5,21.8,45.0,35.9,17.3,69.6,123
2025-02-05,Bilaspur,Chhattisgarh,77.2,115.8,45.9,13.5,14.8,24.0,26.6,18.1,70.9,115
2025-02-12,Bilaspur,Chhattisgarh,83.4,125.1,46.9,5.4,16.9,76.0,17.3,19.1,72.1,125
2025-02-19,Bilaspur,Chhattisgarh,94.1,141.2,50.3,6.8,14.3,68.2,13.2,20.1,73.0,141
2025-02-26,Bilaspur,Chhattisgarh,112.7,169.1,57.6,8.8,15.0,69.4,19.7,21.1,73.8,169
2025-03-05,Bilaspur,Chhattisgarh,104.4,156.7,51.1,9.2,14.8,52.3,21.1,22.3,74.4,156
2025-03-12,Bilaspur,Chhattisgarh,123.0,184.5,58.1,5.3,15.9,51.3,39.1,23.5,74.8,184
2025-03-19,Bilaspur,Chhattisgarh,98.0,147.0,44.8,11.0,6.4,68.5,36.0,24.7,75.0,146
2025-03-26,Bilaspur,Chhattisgarh,122.1,183.1,54.3,5.3,10.8,46.9,33.0,25.9,74.9,183
2025-04-02,Bilaspur,Chhattisgarh,117.7,176.5,51.2,8.5,15.4,31.2,35.9,27.1,74.7,176
2025-04-09,Bilaspur,Chhattisgarh,108.8,163.2,46.4,7.1,8.3,23.7,35.9,28.2,74.2,163
2025-04-16,Bilaspur,Chhattisgarh,125.3,188.0,52.8,6.3,9.7,49.5,41.7,29.3,73.5,187
2025-04-23,Bilaspur,Chhattisgarh,107.0,160.5,44.7,5.8,15.6,60.7,30.2,30.4,72.6,160
2025-04-30,Bilaspur,Chhattisgarh,122.2,183.3,50.9,5.9,20.9,36.4,26.7,31.4,71.6,183
2025-05-07,Bilaspur,Chhattisgarh,117.1,175.6,48.9,4.1,12.8,49.8,23.3,32.2,70.4,175
2025-05-14,Bilaspur,Chhattisgarh,97.8,146.7,41.1,2.8,15.5,14.1,29.1,33.0,69.0,146
2025-05-21,Bilaspur,Chhattisgarh,120.6,181.0,51.2,6.6,14.0,53.6,26.5,33.7,67.5,180
2025-05-28,Bilaspur,Chhattisgarh,101.8,152.7,44.0,5.3,19.2,51.6,23.9,34.2,65.8,152
2025-06-04,Bilaspur,Chhattisgarh,127.4,191.1,56.2,4.6,18.8,47.3,15.8,34.6,64.1,191
2025-06-11,Bilaspur,Chhattisgarh,105.5,158.2,47.7,7.9,8.8,23.3,25.9,34.9,62.4,158
2025-06-18,Bilaspur,Chhattisgarh,94.5,141.7,44.1,13.0,16.3,43.5,34.7,35.0,60.6,141
2025-06-25,Bilaspur,Chhattisgarh,123.2,184.8,59.5,6.2,8.1,39.6,31.0,35.0,58.8,184
2025-07-02,Bilaspur,Chhattisgarh,97.6,146.4,49.1,11.2,16.5,39.2,42.7,34.8,57.0,146
2025-07-09,Bilaspur,Chhattisgarh,108.6,162.9,57.1,7.6,22.9,41.1,15.0,34.5,55.2,162
2025-07-16,Bilaspur,Chhattisgarh,96.6,144.9,53.3,6.3,17.0,28.7,23.0,34.0,53.6,144
2025-07-23,Bilaspur,Chhattisgarh,79.5,119.2,46.3,8.0,15.7,46.2,19.4,33.5,52.0,119
2025-07-30,Bilaspur,Chhattisgarh,64.7,97.0,39.9,8.3,22.9,35.0,37.2,32.7,50.5,114
2025-08-06,Bilaspur,Chhattisgarh,83.4,125.1,54.7,12.0,20.7,60.7,16.6,31.9,49.2,125
2025-08-13,Bilaspur,Chhattisgarh,65.5,98.3,45.8,10.3,20.4,61.2,15.5,31.0,48.0,101
2025-08-20,Bilaspur,Chhattisgarh,63.7,95.5,47.7,8.4,15.1,61.7,12.4,30.0,47.0,95
2025-08-27,Bilaspur,Chhattisgarh,74.6,111.9,59.8,3.6,22.5,46.4,21.0,28.9,46.2,112
2025-09-03,Bilaspur,Chhattisgarh,53.3,80.0,45.8,2.0,21.9,43.4,12.0,27.8,45.6,109
2025-09-10,Bilaspur,Chhattisgarh,55.4,83.1,51.0,8.6,5.9,19.0,12.5,26.6,45.2,83
2025-09-17,Bilaspur,Chhattisgarh,44.1,66.1,43.4,7.4,19.1,68.8,31.2,25.4,45.0,95
2025-09-24,Bilaspur,Chhattisgarh,47.5,71.3,49.8,8.2,13.7,59.3,7.0,24.2,45.0,71
2025-10-01,Bilaspur,Chhattisgarh,47.7,71.5,52.8,7.1,16.0,50.9,22.2,23.0,45.3,79
2025-10-08,Bilaspur,Chhattisgarh,48.5,72.8,56.4,9.4,25.8,19.5,27.6,21.9,45.8,129
2025-10-15,Bilaspur,Chhattisgarh,36.7,55.1,44.3,10.6,12.0,30.4,27.6,20.7,46.4,60
2025-10-22,Bilaspur,Chhattisgarh,41.3,62.0,51.1,8.9,23.1,68.0,14.2,19.7,47.3,115
2025-10-29,Bilaspur,Chhattisgarh,40.5,60.7,50.6,7.9,16.4,28.3,30.9,18.7,48.3,82
2025-11-05,Bilaspur,Chhattisgarh,43.6,65.4,54.3,6.8,18.1,58.2,6.1,17.8,49.6,90
2025-11-12,Bilaspur,Chhattisgarh,38.1,57.2,46.6,8.7,4.6,46.2,35.3,17.0,50.9,70
2025-11-19,Bilaspur,Chhattisgarh,48.2,72.4,57.2,10.6,15.2,74.1,23.0,16.4,52.4,75
2025-11-26,Bilaspur,Chhattisgarh,43.0,64.4,48.8,7.0,8.9,45.9,26.3,15.8,54.0,64
2025-12-03,Bilaspur,Chhattisgarh,42.7,64.1,46.1,8.2,12.5,89.6,18.8,15.4,55.7,64
2025-12-10,Bilaspur,Chhattisgarh,42.9,64.3,43.6,2.2,12.2,71.5,21.8,15.1,57.5,64
2025-12-17,Bilaspur,Chhattisgarh,53.3,79.9,50.7,3.8,19.3,38.5,27.4,15.0,59.3,96
2025-12-24,Bilaspur,Chhattisgarh,63.5,95.3,56.5,6.3,10.3,41.7,23.1,15.0,61.1,95
2025-01-01,Raipur,Chhattisgarh,54.0,81.0,44.4,6.8,19.7,84.0,23.3,15.2,63.1,98
2025-01-08,Raipur,Chhattisgarh,62.5,93.7,47.9,7.8,11.4,61.2,21.5,15.5,64.9,93
2025-01-15,Raipur,Chhattisgarh,68.8,103.2,49.3,6.1,14.4,58.8,12.5,16.0,66.5,103
2025-01-22,Raipur,Chhattisgarh,71.8,107.7,48.2,6.7,7.6,42.3,17.6,16.6,68.1,107
2025-01-29,Raipur,Chhattisgarh,78.1,117.2,49.2,7.3,9.1,55.9,7.8,17.3,69.6,117
2025-02-05,Raipur,Chhattisgarh,74.0,111.0,44.0,9.4,8.9,12.6,16.4,18.1,70.9,110
2025-02-12,Raipur,Chhattisgarh,82.8,124.1,46.6,7.5,12.1,44.1,11.8,19.1,72.1,124
2025-02-19,Raipur,Chhattisgarh,77.8,116.7,41.6,5.6,19.2,84.2,29.3,20.1,73.0,116
2025-02-26,Raipur,Chhattisgarh,115.7,173.6,59.1,12.6,23.3,43.7,8.8,21.1,73.8,173
2025-03-05,Raipur,Chhattisgarh,83.2,124.8,40.7,11.7,21.7,19.6,31.1,22.3,74.4,124
2025-03-12,Raipur,Chhattisgarh,126.7,190.0,59.8,5.7,14.6,50.6,22.1,23.5,74.8,190
2025-03-19,Raipur,Chhattisgarh,105.6,158.4,48.3,9.3,15.8,97.2,32.1,24.7,75.0,158
2025-03-26,Raipur,Chhattisgarh,121.4,182.1,54.0,10.7,8.7,49.3,15.3,25.9,74.9,182
2025-04-02,Raipur,Chhattisgarh,108.4,162.6,47.1,3.8,9.0,61.3,20.5,27.1,74.7,162
2025-04-09,Raipur,Chhattisgarh,120.3,180.5,51.4,8.7,20.8,51.2,17.4,28.2,74.2,180
2025-04-16,Raipur,Chhattisgarh,110.8,166.2,46.7,11.3,12.3,56.9,48.7,29.3,73.5,166
2025-04-23,Raipur,Chhattisgarh,136.0,204.0,56.9,4.2,14.4,55.0,19.7,30.4,72.6,204
2025-04-30,Raipur,Chhattisgarh,113.1,169.6,47.1,7.3,15.5,51.8,18.8,31.4,71.6,169
2025-05-07,Raipur,Chhattisgarh,111.0,166.5,46.3,8.2,18.8,5.0,22.4,32.2,70.4,166
2025-05-14,Raipur,Chhattisgarh,129.3,194.0,54.3,6.8,13.5,19.3,35.4,33.0,69.0,193
2025-05-21,Raipur,Chhattisgarh,103.4,155.1,43.9,10.8,7.9,35.8,33.5,33.7,67.5,155
2025-05-28,Raipur,Chhattisgarh,114.8,172.2,49.5,9.5,5.3,85.2,37.2,34.2,65.8,172
2025-06-04,Raipur,Chhattisgarh,128.8,193.1,56.8,11.7,20.5,70.2,29.4,34.6,64.1,193
2025-06-11,Raipur,Chhattisgarh,92.0,137.9,41.6,7.1,22.8,63.5,23.6,34.9,62.4,137
2025-06-18,Raipur,Chhattisgarh,96.3,144.4,44.9,10.9,13.8,53.1,23.0,35.0,60.6,144
2025-06-25,Raipur,Chhattisgarh,94.1,141.2,45.5,8.3,20.7,28.3,21.2,35.0,58.8,141
2025-07-02,Raipur,Chhattisgarh,92.3,138.4,46.4,12.8,13.2,14.5,36.4,34.8,57.0,138
2025-07-09,Raipur,Chhattisgarh,113.3,170.0,59.6,6.1,17.8,22.1,28.5,34.5,55.2,169
2025-07-16,Raipur,Chhattisgarh,79.9,119.8,44.1,8.8,7.7,22.9,21.5,34.0,53.6,119
