date,city,pm25,pm10,no2,nh3,so2,co,o3,temperature,humidity,aqi
2025-07-02,Ahmedabad,90.9,136.3,45.7,9.7,11.9,14.4,17.5,34.8,57.0,136
2025-07-09,Ahmedabad,88.7,133.0,46.6,7.2,12.1,42.2,25.6,34.5,55.2,133
2025-07-16,Ahmedabad,65.9,98.8,36.4,4.2,13.9,52.2,26.7,34.0,53.6,98
2025-07-23,Ahmedabad,71.9,107.9,41.9,8.4,15.2,66.5,28.0,33.5,52.0,107
2025-07-30,Ahmedabad,75.9,113.9,46.9,16.1,15.2,27.0,44.2,32.7,50.5,113
2025-08-06,Ahmedabad,81.0,121.5,53.1,6.0,14.9,39.4,13.9,31.9,49.2,121
2025-08-13,Ahmedabad,73.6,110.4,51.5,8.9,10.2,66.3,43.1,31.0,48.0,110
2025-08-20,Ahmedabad,60.8,91.2,45.5,10.0,13.9,57.0,30.9,30.0,47.0,91
2025-08-27,Ahmedabad,57.7,86.6,46.3,5.9,13.0,45.0,37.7,28.9,46.2,86
2025-09-03,Ahmedabad,51.3,76.9,44.0,6.6,9.4,65.3,30.5,27.8,45.6,76
2025-09-10,Ahmedabad,52.3,78.4,48.1,9.5,13.8,18.6,16.2,26.6,45.2,78
2025-09-17,Ahmedabad,46.3,69.5,45.6,6.9,10.8,51.8,20.2,25.4,45.0,69
2025-09-24,Ahmedabad,38.1,57.1,39.9,10.8,16.2,45.0,31.3,24.2,45.0,81
2025-10-01,Ahmedabad,41.2,61.7,45.6,4.4,25.6,25.2,24.0,23.0,45.3,127
2025-10-08,Ahmedabad,40.1,60.2,46.6,7.2,15.5,8.4,39.9,21.9,45.8,79
2025-10-15,Ahmedabad,35.0,52.5,42.2,11.1,14.0,45.8,14.0,20.7,46.4,70
2025-10-22,Ahmedabad,37.7,56.6,46.6,5.6,8.3,29.4,36.0,19.7,47.3,72
2025-10-29,Ahmedabad,33.3,50.0,41.7,8.3,14.6,96.9,21.1,18.7,48.3,73
2025-11-05,Ahmedabad,36.7,55.0,45.7,7.3,13.2,36.6,27.0,17.8,49.6,65
2025-11-12,Ahmedabad,38.8,58.2,47.5,6.5,16.2,20.6,24.4,17.0,50.9,80
2025-11-19,Ahmedabad,40.0,60.1,47.5,5.3,11.7,53.7,5.0,16.4,52.4,60
2025-11-26,Ahmedabad,48.3,72.5,54.9,8.4,5.9,30.4,32.3,15.8,54.0,72
2025-12-03,Ahmedabad,43.6,65.4,47.0,5.7,14.2,47.0,40.0,15.4,55.7,80
2025-12-10,Ahmedabad,43.0,64.5,43.7,4.8,11.6,71.2,32.7,15.1,57.5,65
2025-12-17,Ahmedabad,55.1,82.6,52.4,6.7,11.2,21.9,31.1,15.0,59.3,82
2025-12-24,Ahmedabad,55.8,83.7,49.6,10.2,8.5,62.7,31.4,15.0,61.1,83
2025-01-01,Amritsar,66.8,100.2,54.9,13.0,12.5,18.5,34.0,12.2,63.1,100
2025-01-08,Amritsar,64.9,97.3,49.7,11.0,15.0,72.2,10.4,12.5,64.9,97
2025-01-15,Amritsar,75.6,113.3,54.1,5.5,21.3,19.7,21.6,13.0,66.5,113
2025-01-22,Amritsar,72.6,109.0,48.7,7.3,12.1,12.6,16.4,13.6,68.1,108
2025-01-29,Amritsar,86.1,129.2,54.3,2.0,17.5,58.2,26.3,14.3,69.6,129
2025-02-05,Amritsar,91.3,136.9,54.3,6.2,15.5,55.7,11.4,15.1,70.9,136
2025-02-12,Amritsar,98.7,148.1,55.5,12.9,22.1,103.5,27.5,16.1,72.1,148
2025-02-19,Amritsar,79.4,119.1,42.4,13.2,11.5,28.6,30.8,17.1,73.0,119
2025-02-26,Amritsar,111.9,167.8,57.1,8.3,10.9,50.0,16.4,18.1,73.8,167
2025-03-05,Amritsar,118.1,177.1,57.8,7.6,6.8,61.3,28.4,19.3,74.4,177
2025-03-12,Amritsar,104.3,156.5,49.2,5.0,17.9,32.9,11.6,20.5,74.8,156
2025-03-19,Amritsar,124.3,186.5,56.8,14.6,16.6,64.7,18.9,21.7,75.0,186
2025-03-26,Amritsar,130.1,195.1,57.8,6.2,18.8,37.3,22.3,22.9,74.9,195
2025-04-02,Amritsar,142.9,214.3,62.1,3.7,25.9,20.8,20.9,24.1,74.7,214
2025-04-09,Amritsar,114.5,171.7,48.9,8.2,10.6,31.0,18.2,25.2,74.2,171
2025-04-16,Amritsar,129.6,194.4,54.6,11.9,19.9,66.5,5.0,26.3,73.5,194
2025-04-23,Amritsar,149.8,224.7,62.6,14.2,25.5,33.4,22.5,27.4,72.6,224
2025-04-30,Amritsar,141.3,212.0,58.9,5.3,15.6,45.5,40.5,28.4,71.6,211
2025-05-07,Amritsar,155.6,233.4,64.9,13.4,11.9,50.9,13.4,29.2,70.4,233
2025-05-14,Amritsar,121.2,181.7,50.9,6.2,16.6,54.6,27.1,30.0,69.0,181
2025-05-21,Amritsar,133.9,200.8,56.9,5.9,10.7,60.9,22.6,30.7,67.5,200
2025-05-28,Amritsar,117.4,176.1,50.7,14.3,24.4,80.6,24.1,31.2,65.8,176
2025-06-04,Amritsar,114.2,171.3,50.3,9.3,9.6,25.2,19.2,31.6,64.1,171
2025-06-11,Amritsar,122.8,184.2,55.5,10.4,13.1,73.3,25.8,31.9,62.4,184
2025-06-18,Amritsar,119.8,179.7,55.8,14.5,21.4,64.7,29.1,32.0,60.6,179
2025-06-25,Amritsar,117.7,176.5,56.9,12.6,18.7,40.3,24.4,32.0,58.8,176
2025-07-02,Amritsar,112.2,168.3,56.4,7.9,19.0,56.9,21.8,31.8,57.0,168
2025-07-09,Amritsar,108.7,163.1,57.2,10.8,14.7,24.7,34.2,31.5,55.2,163
2025-07-16,Amritsar,99.2,148.8,54.8,12.5,12.2,107.9,25.3,31.0,53.6,148
2025-07-23,Amritsar,104.4,156.6,60.8,10.8,19.8,44.4,29.5,30.5,52.0,156
2025-07-30,Amritsar,82.5,123.7,50.9,2.6,14.1,52.0,34.4,29.7,50.5,123
2025-08-06,Amritsar,82.0,123.0,53.8,2.4,19.9,70.3,30.8,28.9,49.2,122
2025-08-13,Amritsar,81.9,122.9,57.3,4.7,14.0,60.3,23.3,28.0,48.0,122
2025-08-20,Amritsar,73.2,109.8,54.8,8.1,11.3,87.7,43.4,27.0,47.0,109
2025-08-27,Amritsar,72.0,107.9,57.7,10.7,11.6,80.5,5.0,25.9,46.2,107
2025-09-03,Amritsar,66.1,99.1,56.8,15.4,20.4,59.4,32.6,24.8,45.6,102
2025-09-10,Amritsar,52.8,79.2,48.6,7.8,19.9,70.3,7.5,23.6,45.2,99
2025-09-17,Amritsar,56.5,84.8,55.6,7.8,13.0,94.1,10.7,22.4,45.0,84
2025-09-24,Amritsar,55.7,83.5,58.3,9.8,16.7,29.4,24.9,21.2,45.0,83
2025-10-01,Amritsar,50.4,75.7,55.9,6.2,17.9,35.3,23.7,20.0,45.3,89
2025-10-08,Amritsar,51.1,76.6,59.4,10.9,15.3,34.8,23.0,18.9,45.8,76
2025-10-15,Amritsar,47.6,71.4,57.4,5.4,17.5,5.0,35.7,17.7,46.4,87
2025-10-22,Amritsar,49.3,73.9,60.9,9.8,15.8,31.4,23.3,16.7,47.3,78
2025-10-29,Amritsar,44.9,67.4,56.1,2.8,16.6,65.2,14.3,15.7,48.3,83
2025-11-05,Amritsar,44.1,66.2,54.9,10.3,16.9,44.8,32.1,14.8,49.6,84
2025-11-12,Amritsar,41.7,62.5,51.0,8.3,4.1,32.5,20.1,14.0,50.9,62
2025-11-19,Amritsar,50.0,75.0,59.3,13.5,15.4,61.8,19.1,13.4,52.4,76
2025-11-26,Amritsar,43.2,64.8,49.1,15.8,9.8,51.2,23.3,12.8,54.0,79
2025-12-03,Amritsar,48.1,72.1,51.8,7.2,8.2,42.6,36.6,12.4,55.7,73
2025-12-10,Amritsar,50.4,75.6,51.2,10.2,8.3,35.9,27.6,12.1,57.5,75
2025-12-17,Amritsar,51.5,77.3,49.1,10.5,19.7,21.4,33.8,12.0,59.3,98
2025-12-24,Amritsar,59.7,89.5,53.1,5.6,11.2,53.3,25.3,12.0,61.1,89
2025-01-01,Bangalore,52.2,78.2,42.9,6.5,12.3,62.6,27.7,20.2,63.1,78
2025-01-08,Bangalore,47.5,71.3,36.5,10.4,11.9,35.3,29.3,20.5,64.9,71
2025-01-15,Bangalore,63.2,94.7,45.3,10.8,17.9,48.0,25.8,21.0,66.5,94
2025-01-22,Bangalore,67.1,100.7,45.0,5.6,21.9,53.0,32.3,21.6,68.1,109
2025-01-29,Bangalore,75.2,112.8,47.4,4.1,9.3,27.9,8.4,22.3,69.6,112
2025-02-05,Bangalore,71.5,107.2,42.5,9.3,11.3,38.0,31.6,23.1,70.9,107
2025-02-12,Bangalore,88.7,133.0,49.9,6.8,18.9,43.2,32.1,24.1,72.1,133
2025-02-19,Bangalore,84.3,126.5,45.1,4.8,12.9,46.1,23.1,25.1,73.0,126
2025-02-26,Bangalore,73.6,110.4,37.6,4.5,2.5,28.2,40.3,26.1,73.8,110
2025-03-05,Bangalore,89.8,134.7,44.0,3.0,15.1,12.8,32.2,27.3,74.4,134
2025-03-12,Bangalore,79.8,119.7,37.7,6.8,13.1,42.1,25.2,28.5,74.8,119
2025-03-19,Bangalore,80.3,120.4,36.7,5.2,5.3,40.8,29.1,29.7,75.0,120
2025-03-26,Bangalore,96.2,144.2,42.7,9.9,12.6,43.6,25.9,30.9,74.9,144
2025-04-02,Bangalore,109.7,164.5,47.7,4.6,15.1,31.8,22.0,32.1,74.7,164
2025-04-09,Bangalore,95.3,142.9,40.7,5.6,12.4,22.3,30.8,33.2,74.2,142
2025-04-16,Bangalore,100.8,151.1,42.5,4.7,11.2,20.4,10.3,34.3,73.5,151
2025-04-23,Bangalore,99.1,148.6,41.4,7.6,12.3,62.2,24.9,35.4,72.6,148
2025-04-30,Bangalore,92.3,138.4,38.5,9.8,4.8,5.0,10.8,36.4,71.6,138
2025-05-07,Bangalore,106.4,159.6,44.4,7.1,13.2,35.1,19.4,37.2,70.4,159
2025-05-14,Bangalore,101.5,152.3,42.6,6.9,19.9,43.7,20.3,38.0,69.0,152
2025-05-21,Bangalore,101.8,152.7,43.2,5.4,15.9,58.5,48.4,38.7,67.5,152
2025-05-28,Bangalore,110.8,166.2,47.8,8.5,8.8,21.4,33.3,39.2,65.8,166
2025-06-04,Bangalore,94.0,141.0,41.4,2.9,20.1,21.8,49.2,39.6,64.1,140
2025-06-11,Bangalore,87.0,130.4,39.3,8.1,19.7,40.4,56.0,39.9,62.4,130
2025-06-18,Bangalore,81.3,121.9,37.9,3.8,17.4,50.0,22.6,40.0,60.6,121
2025-06-25,Bangalore,81.7,122.5,39.5,6.2,10.8,37.1,43.5,40.0,58.8,122
2025-07-02,Bangalore,68.4,102.6,34.4,5.8,12.4,15.4,32.7,39.8,57.0,102
2025-07-09,Bangalore,67.8,101.7,35.6,11.1,9.4,40.0,12.3,39.5,55.2,101
2025-07-16,Bangalore,74.8,112.2,41.3,8.1,12.3,43.5,20.2,39.0,53.6,112
2025-07-23,Bangalore,63.4,95.1,36.9,4.6,11.3,67.8,18.3,38.5,52.0,95
2025-07-30,Bangalore,66.0,99.0,40.7,4.5,16.4,27.6,32.8,37.7,50.5,98
2025-08-06,Bangalore,65.2,97.7,42.7,7.6,16.8,35.9,39.7,36.9,49.2,97
2025-08-13,Bangalore,71.1,106.6,49.7,5.5,8.7,43.4,38.7,36.0,48.0,106
2025-08-20,Bangalore,52.4,78.5,39.2,5.0,9.5,23.7,25.8,35.0,47.0,78
2025-08-27,Bangalore,60.4,90.6,48.4,5.0,11.7,50.6,40.8,33.9,46.2,90
2025-09-03,Bangalore,45.9,68.8,39.4,6.8,10.2,59.9,32.9,32.8,45.6,68
2025-09-10,Bangalore,56.5,84.8,52.0,4.1,18.7,60.7,24.7,31.6,45.2,93
2025-09-17,Bangalore,45.2,67.8,44.5,10.0,7.2,32.5,32.6,30.4,45.0,67
2025-09-24,Bangalore,40.6,60.9,42.5,6.5,7.2,42.1,23.8,29.2,45.0,60
2025-10-01,Bangalore,34.2,51.3,37.9,4.4,10.1,45.2,37.7,28.0,45.3,75
2025-10-08,Bangalore,39.1,58.7,45.4,7.3,12.9,45.6,36.4,26.9,45.8,72
2025-10-15,Bangalore,31.5,47.3,38.0,3.2,12.1,11.4,41.6,25.7,46.4,83
2025-10-22,Bangalore,35.2,52.8,43.5,11.0,14.2,34.2,28.0,24.7,47.3,70
2025-10-29,Bangalore,28.8,43.3,36.0,9.3,6.0,26.5,23.4,23.7,48.3,46
2025-11-05,Bangalore,38.8,58.2,48.3,11.0,11.9,17.4,9.8,22.8,49.6,59
2025-11-12,Bangalore,40.2,60.2,49.1,8.0,16.8,65.8,10.3,22.0,50.9,84
2025-11-19,Bangalore,37.5,56.2,44.4,5.5,17.7,6.8,38.2,21.4,52.4,88
2025-11-26,Bangalore,39.0,58.5,44.3,7.8,6.8,38.5,28.0,20.8,54.0,58
2025-12-03,Bangalore,39.8,59.7,42.9,6.8,17.0,5.0,13.8,20.4,55.7,84
2025-12-10,Bangalore,49.4,74.1,50.2,6.4,14.0,40.2,24.2,20.1,57.5,74
2025-12-17,Bangalore,47.4,71.1,45.2,7.4,17.3,5.0,9.8,20.0,59.3,86
2025-12-24,Bangalore,60.7,91.1,54.0,6.6,6.3,20.2,36.1,20.0,61.1,91
2025-01-01,Bhopal,62.6,93.9,51.4,9.6,18.8,40.6,33.6,15.2,63.1,94
2025-01-08,Bhopal,64.8,97.3,49.7,5.0,21.0,64.2,9.5,15.5,64.9,105
2025-01-15,Bhopal,75.2,112.8,53.9,5.8,11.2,80.2,41.6,16.0,66.5,112
2025-01-22,Bhopal,79.2,118.8,53.1,7.5,7.8,5.0,38.7,16.6,68.1,118
2025-01-29,Bhopal,84.4,126.5,53.2,9.7,4.1,49.7,38.9,17.3,69.6,126
2025-02-05,Bhopal,73.1,109.7,43.5,9.2,12.0,67.3,40.8,18.1,70.9,109
2025-02-12,Bhopal,87.6,131.4,49.3,8.3,18.6,33.8,37.9,19.1,72.1,131
2025-02-19,Bhopal,105.6,158.4,56.5,6.6,12.5,81.0,35.6,20.1,73.0,158
2025-02-26,Bhopal,95.1,142.6,48.5,6.7,10.0,46.1,16.2,21.1,73.8,142
2025-03-05,Bhopal,96.7,145.0,47.3,3.9,21.6,38.3,15.4,22.3,74.4,145
2025-03-12,Bhopal,120.8,181.2,57.0,7.1,25.4,20.0,11.3,23.5,74.8,181
2025-03-19,Bhopal,119.9,179.9,54.8,12.7,12.9,69.3,19.4,24.7,75.0,179
2025-03-26,Bhopal,116.7,175.0,51.9,3.8,17.6,46.5,17.8,25.9,74.9,174
2025-04-02,Bhopal,99.4,149.1,43.2,2.1,3.8,45.2,43.7,27.1,74.7,149
2025-04-09,Bhopal,122.0,183.0,52.1,7.8,13.0,27.3,20.6,28.2,74.2,182
2025-04-16,Bhopal,126.3,189.4,53.2,7.2,13.6,74.4,18.4,29.3,73.5,189
2025-04-23,Bhopal,129.7,194.6,54.2,8.2,19.0,30.0,30.6,30.4,72.6,194
2025-04-30,Bhopal,131.6,197.4,54.8,11.5,13.0,36.0,25.7,31.4,71.6,197
2025-05-07,Bhopal,134.4,201.5,56.1,13.1,14.0,33.6,22.7,32.2,70.4,201
2025-05-14,Bhopal,116.5,174.7,48.9,7.9,17.4,59.0,26.8,33.0,69.0,174
2025-05-21,Bhopal,115.8,173.8,49.2,6.9,5.7,55.5,7.1,33.7,67.5,173
2025-05-28,Bhopal,92.5,138.8,39.9,5.4,12.0,52.2,33.0,34.2,65.8,138
2025-06-04,Bhopal,124.3,186.4,54.8,13.4,14.0,13.7,10.2,34.6,64.1,186
2025-06-11,Bhopal,112.8,169.2,51.0,10.4,21.1,90.6,21.0,34.9,62.4,169
2025-06-18,Bhopal,126.5,189.7,59.0,15.7,11.9,29.4,29.4,35.0,60.6,189
2025-06-25,Bhopal,95.3,143.0,46.0,7.8,18.9,20.1,23.5,35.0,58.8,142
2025-07-02,Bhopal,99.6,149.4,50.1,9.9,8.4,70.2,25.1,34.8,57.0,149
2025-07-09,Bhopal,108.9,163.3,57.2,7.4,6.0,64.1,17.3,34.5,55.2,163
2025-07-16,Bhopal,80.4,120.6,44.4,4.3,17.6,17.0,30.0,34.0,53.6,120
2025-07-23,Bhopal,68.5,102.7,39.9,6.8,18.6,79.9,12.1,33.5,52.0,102
2025-07-30,Bhopal,89.3,133.9,55.1,11.2,17.5,28.9,33.6,32.7,50.5,133
2025-08-06,Bhopal,76.6,115.0,50.3,3.9,11.1,31.8,24.4,31.9,49.2,114
2025-08-13,Bhopal,82.6,123.9,57.8,3.7,13.4,73.0,29.1,31.0,48.0,123
2025-08-20,Bhopal,64.7,97.0,48.4,10.2,16.5,56.5,11.1,30.0,47.0,97
2025-08-27,Bhopal,60.3,90.4,48.3,10.1,5.4,69.6,34.2,28.9,46.2,90
2025-09-03,Bhopal,61.4,92.1,52.8,2.0,15.6,57.3,9.0,27.8,45.6,92
2025-09-10,Bhopal,57.9,86.8,53.3,14.0,10.8,8.2,7.8,26.6,45.2,86
2025-09-17,Bhopal,48.3,72.4,47.5,5.6,13.3,57.2,36.4,25.4,45.0,72
2025-09-24,Bhopal,49.9,74.9,52.3,6.5,18.7,41.0,17.5,24.2,45.0,93
2025-10-01,Bhopal,47.7,71.6,52.9,10.4,18.5,5.0,12.2,23.0,45.3,92
2025-10-08,Bhopal,45.1,67.7,52.4,7.3,18.9,48.1,25.7,21.9,45.8,94
2025-10-15,Bhopal,38.0,57.0,45.8,5.4,8.3,51.8,11.9,20.7,46.4,56
2025-10-22,Bhopal,38.7,58.0,47.8,7.5,21.6,60.9,22.9,19.7,47.3,108
2025-10-29,Bhopal,36.4,54.7,45.5,9.4,19.6,31.9,16.3,18.7,48.3,98
2025-11-05,Bhopal,36.7,55.1,45.7,12.8,12.2,7.7,10.9,17.8,49.6,63
2025-11-12,Bhopal,43.0,64.5,52.6,9.8,19.3,75.2,13.2,17.0,50.9,96
2025-11-19,Bhopal,36.2,54.2,42.9,4.8,9.1,33.0,25.9,16.4,52.4,54
2025-11-26,Bhopal,40.2,60.3,45.6,4.8,14.3,69.8,18.3,15.8,54.0,71
2025-12-03,Bhopal,41.1,61.6,44.3,10.0,17.3,46.4,36.1,15.4,55.7,86
2025-12-10,Bhopal,48.6,73.0,49.4,6.8,18.9,80.2,40.4,15.1,57.5,94
2025-12-17,Bhopal,56.9,85.4,54.2,7.5,16.5,35.4,17.8,15.0,59.3,85
2025-12-24,Bhopal,60.8,91.1,54.0,9.7,16.9,76.4,23.4,15.0,61.1,91
2025-01-01,Bilaspur,59.3,89.0,48.7,12.1,23.1,44.2,27.2,15.2,63.1,115
2025-01-08,Bilaspur,67.6,101.4,51.8,8.7,19.9,22.9,36.6,15.5,64.9,101
2025-01-15,Bilaspur,69.5,104.3,49.8,8.0,11.9,28.0,12.3,16.0,66.5,104
2025-01-22,Bilaspur,66.8,100.2,44.8,6.3,22.4,72.6,11.1,16.6,68.1,111
2025-01-29,Bilaspur,82.6,123.9,52.1,10.5,21.8,45.0,35.9,17.3,69.6,123
2025-02-05,Bilaspur,77.2,115.8,45.9,13.5,14.8,24.0,26.6,18.1,70.9,115
2025-02-12,Bilaspur,83.4,125.1,46.9,5.4,16.9,76.0,17.3,19.1,72.1,125
2025-02-19,Bilaspur,94.1,141.2,50.3,6.8,14.3,68.2,13.2,20.1,73.0,141
2025-02-26,Bilaspur,112.7,169.1,57.6,8.8,15.0,69.4,19.7,21.1,73.8,169
2025-03-05,Bilaspur,104.4,156.7,51.1,9.2,14.8,52.3,21.1,22.3,74.4,156
2025-03-12,Bilaspur,123.0,184.5,58.1,5.3,15.9,51.3,39.1,23.5,74.8,184
2025-03-19,Bilaspur,98.0,147.0,44.8,11.0,6.4,68.5,36.0,24.7,75.0,146
